CapturedAt,Time,Symbol,Expiry,Underlying,VIX,Strike,CE_LTP,CE_OI,CE_OI_Chg,CE_Vol,PE_LTP,PE_OI,PE_OI_Chg,PE_Vol
00:26,15:30,NIFTY,14-Jul-2026,23882.05,14.6800,23400,512.7,840,460,2675,47.1,38850,15719,690057
00:26,15:30,NIFTY,14-Jul-2026,23882.05,14.6800,23450,470.85,112,98,648,54.75,13024,8048,362240
00:26,15:30,NIFTY,14-Jul-2026,23882.05,14.6800,23500,428.85,5018,2491,26939,64.4,87286,24860,1503858
00:26,15:30,NIFTY,14-Jul-2026,23882.05,14.6800,23550,396.75,345,292,2755,74.05,19641,13846,497493
00:26,15:30,NIFTY,14-Jul-2026,23882.05,14.6800,23600,353,2934,1607,19294,86.05,78886,53063,1152583
00:26,15:30,NIFTY,14-Jul-2026,23882.05,14.6800,23650,316,850,739,9630,100.4,21079,12839,646028
00:26,15:30,NIFTY,14-Jul-2026,23882.05,14.6800,23700,282.1,7074,5643,57610,116,69844,26299,1272815
00:26,15:30,NIFTY,14-Jul-2026,23882.05,14.6800,23750,251.95,2876,2736,33591,133.75,16661,5446,768234
00:26,15:30,NIFTY,14-Jul-2026,23882.05,14.6800,23800,221.5,23532,19624,274202,154.95,73855,19220,1795125
00:26,15:30,NIFTY,14-Jul-2026,23882.05,14.6800,23850,193.55,14737,14209,249743,176.15,25327,12919,1051647
00:26,15:30,NIFTY,14-Jul-2026,23882.05,14.6800,23900,168.55,46236,43468,629941,202.2,56212,19393,1739037
00:26,15:30,NIFTY,14-Jul-2026,23882.05,14.6800,23950,144.25,17255,16857,302895,228.45,15811,2442,852766
00:26,15:30,NIFTY,14-Jul-2026,23882.05,14.6800,24000,124,95271,83928,1024568,256.7,53559,-17511,2459695
00:26,15:30,NIFTY,14-Jul-2026,23882.05,14.6800,24050,104.95,17558,16395,318354,287.55,12063,2111,882593
00:26,15:30,NIFTY,14-Jul-2026,23882.05,14.6800,24100,88.2,60609,53274,922697,321.4,37287,-2175,1689474
00:26,15:30,NIFTY,14-Jul-2026,23882.05,14.6800,24150,74.85,30474,28174,656118,357.55,12609,-1612,1176574
00:26,15:30,NIFTY,14-Jul-2026,23882.05,14.6800,24200,61.75,152316,138882,2724034,395.75,59191,16843,3010098
00:26,15:30,NIFTY,14-Jul-2026,23882.05,14.6800,24250,51.65,73499,70927,2182965,435,22281,9723,2053727
00:26,15:30,NIFTY,14-Jul-2026,23882.05,14.6800,24300,43.2,141751,112641,2957197,473.55,37421,-4811,1799798
00:26,15:30,NIFTY,14-Jul-2026,23882.05,14.6800,24350,36.15,41635,28181,1047416,514.55,6499,-10763,362879
00:26,15:30,NIFTY,14-Jul-2026,23882.05,14.6800,24400,29.8,91631,9902,1755817,562.45,19639,-31721,453818
